	In113Di	In115Di	Xe134Di	Pr141Di	Nd142Di	Nd143Di	Nd144Di	Nd145Di	Nd146Di	Sm147Di	Nd148Di	Sm149Di	Nd150Di	Eu151Di	Sm152Di	Eu153Di	Sm154Di	Gd155Di	Gd156Di	Gd158Di	Tb159Di	Gd160Di	Dy161Di	Dy162Di	Dy163Di	Dy164Di	Ho165Di	Er166Di	Er167Di	Er168Di	Tm169Di	Er170Di	Yb171Di	Yb172Di	Yb173Di	Yb174Di	Lu175Di	Yb176Di	Ir191Di	Ir193Di
Gd155Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.004797246	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000469635	0	0	0	0	0	0	0
Gd156Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000624698	0.009481223	1	0.009702058	0	0.002963151	0	0	0	0	0	0	0	0	0	0	0	0.000839669	0	0	0	0	0	0
Gd158Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000856682	0.002520841	1	0.004544742	0.008124817	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00077289	0	0	0	0
Gd160Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000824224	0.001439261	0.006507091	0.000898526	1	0.004361554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000594857	0	0
Ho165Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00072788	1	0.004337565	0	0	0	0	0	0	0	0	0	0	0	0
In113Di	1	0.075258309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
In115Di	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ir193Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Lu175Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000844656	1	0.021168908	0	0
Nd142Di	0	0	0	0	1	0.007013099	0.003626306	0	0	0	0	0	0	0	0	0	0	0	0	0.001821537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd143Di	0	0	0	0	0.009606319	1	0.027389827	0.002951134	0.002666345	0	0	0	0	0	0	0	0	0	0	0	0.002125579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd144Di	0	0	0	0	0	0.002941279	1	0.00754041	0.003096953	0	0	0	0	0	0	0	0	0	0	0	0	0.001798673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd145Di	0	0	0	0	0.002935451	0.002488777	0.014192713	1	0.04262496	0	0.001760681	0	0	0	0	0	0	0	0	0	0	0	0.002385579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd146Di	0	0	0	0	0.00197787	0.001192982	0.00365597	0.003310979	1	0.003242661	0.002983752	0	0	0	0	0	0	0	0	0	0	0	0	0.002505799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd148Di	0	0	0	0	0.005076567	0.002348043	0.005653779	0.00218842	0.007702382	0	1	0.003985128	0.005376812	0	0	0	0	0	0	0	0	0	0	0	0	0.002815761	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd150Di	0	0	0	0	0.004891662	0.003040299	0.006949536	0.002044685	0.004012514	0	0.002500188	0	1	0.003839876	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002665404	0	0	0	0	0	0	0	0	0	0	0	0
Pr141Di	0	0	0	1	0.002184718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm147Di	0	0	0	0	0	0	0	0	0	1	0.028324535	0.006213584	0.001185427	0	0.003968257	0	0.002591048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm149Di	0	0	0	0	0	0	0	0	0	0.002370983	0.009294995	1	0.020875691	0	0.005836264	0	0.002682511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm152Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.003691712	0.008232763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm154Di	0	0	0	0	0	0	0	0	0	0.000764616	0.000831124	0.001302431	0	0	0.007575758	0	1	0.004273447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb159Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000704218	1	0.005445799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000390748	0	0	0
Tm169Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000924344	1	0.008689552	0	0	0	0	0	0	0	0
Yb171Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001783119	1	0.04946057	0.003738039	0.004031302	0	0.001023767	0	0
Yb172Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000933226	0.009112285	1	0.051606882	0.012272942	0	0.001660652	0	0
Yb173Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000780247	0.003744264	0.015805379	1	0.053988507	0	0.003159422	0	0
Yb174Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000562449	0.001654017	0.004019335	1	0.014342413	0.004347293	0	0
Yb176Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000563865	0.003208591	0.000872033	1	0	0
